Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,datetime,hour,day,weekday,month,is_weekend
2024-08-23,08:56:10,"""CNR8494506""",Completed,"""CID9202816""",Auto,Khandsa,Malviya Nagar,13.4,25.8,627.0,13.58,4.9,4.9,Debit Card,2024-08-23 08:56:10,8,23,4,8,0
2024-10-21,17:17:25,"""CNR8906825""",Completed,"""CID2610914""",Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,416.0,34.02,4.6,5.0,UPI,2024-10-21 17:17:25,17,21,0,10,0
2024-09-16,22:08:00,"""CNR1950162""",Completed,"""CID9933542""",Bike,Ghitorni Village,Khan Market,5.3,19.6,737.0,48.21,4.1,4.3,UPI,2024-09-16 22:08:00,22,16,0,9,0
2024-02-06,09:44:56,"""CNR4096693""",Completed,"""CID4670564""",Auto,AIIMS,Narsinghpur,5.1,18.1,316.0,4.85,4.1,4.6,UPI,2024-02-06 09:44:56,9,6,1,2,0
2024-06-17,15:45:58,"""CNR2002539""",Completed,"""CID6800553""",Go Mini,Vaishali,Punjabi Bagh,7.1,20.4,640.0,41.24,4.0,4.1,UPI,2024-06-17 15:45:58,15,17,0,6,0
2024-03-19,17:37:37,"""CNR6568000""",Completed,"""CID8610436""",Auto,Mayur Vihar,Cyber Hub,12.1,16.5,136.0,6.56,4.4,4.2,UPI,2024-03-19 17:37:37,17,19,1,3,0
2024-06-14,16:24:12,"""CNR9070334""",Completed,"""CID6680340""",Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,181.0,19.84,4.2,4.9,Cash,2024-06-14 16:24:12,16,14,4,6,0
2024-09-11,19:29:39,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,394.0,21.44,4.1,4.7,UPI,2024-09-11 19:29:39,19,11,2,9,0
2024-10-18,18:28:53,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,Madipur,GTB Nagar,14.0,30.9,836.0,39.55,4.7,4.4,UPI,2024-10-18 18:28:53,18,18,4,10,0
2024-06-07,15:05:35,"""CNR2390352""",Completed,"""CID5432215""",Auto,Jama Masjid,Khan Market,8.5,36.9,410.0,34.76,4.0,4.9,Uber Wallet,2024-06-07 15:05:35,15,7,4,6,0
2024-07-01,10:51:16,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,5.6,27.5,401.0,21.97,4.9,4.3,UPI,2024-07-01 10:51:16,10,1,0,7,0
2024-12-14,21:27:04,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,264.0,13.64,3.8,4.7,Uber Wallet,2024-12-14 21:27:04,21,14,5,12,1
2024-07-29,06:28:22,"""CNR7911434""",Completed,"""CID8465004""",Auto,Greater Noida,Botanical Garden,7.0,21.3,183.0,4.5,5.0,4.2,UPI,2024-07-29 06:28:22,6,29,0,7,0
2024-02-23,11:02:45,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,713.0,38.03,3.7,3.6,UPI,2024-02-23 11:02:45,11,23,4,2,0
2024-03-09,20:14:24,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,113.0,14.53,4.6,4.9,UPI,2024-03-09 20:14:24,20,9,5,3,1
2024-08-28,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,767.0,7.39,3.8,4.6,Debit Card,2024-08-28 16:30:14,16,28,2,8,0
2024-08-08,06:34:38,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,495.0,10.23,3.8,4.2,Credit Card,2024-08-08 06:34:38,6,8,3,8,0
2024-11-03,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,2847.0,39.21,3.1,4.6,Debit Card,2024-11-03 12:24:59,12,3,6,11,1
2024-11-15,05:53:55,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41.0,282.0,8.36,3.8,4.4,UPI,2024-11-15 05:53:55,5,15,4,11,0
2024-02-04,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,656.0,6.39,5.0,4.9,Uber Wallet,2024-02-04 18:08:04,18,4,6,2,1
2024-05-29,14:05:10,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2.0,19.4,134.0,46.66,3.8,4.4,Credit Card,2024-05-29 14:05:10,14,29,2,5,0
2024-06-07,19:21:10,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,470.0,27.07,3.7,4.2,Cash,2024-06-07 19:21:10,19,7,4,6,0
2024-05-16,13:04:31,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,187.0,12.16,4.9,4.3,UPI,2024-05-16 13:04:31,13,16,3,5,0
2024-10-02,03:10:35,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30.0,186.0,10.28,4.4,4.6,UPI,2024-10-02 03:10:35,3,2,2,10,0
2024-02-26,15:43:16,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10.0,35.8,70.0,44.42,4.1,4.4,UPI,2024-02-26 15:43:16,15,26,0,2,0
2024-01-24,10:47:57,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,273.0,34.64,4.5,4.6,Uber Wallet,2024-01-24 10:47:57,10,24,2,1,0
2024-04-01,21:14:19,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,251.0,20.91,4.2,3.6,Debit Card,2024-04-01 21:14:19,21,1,0,4,0
2024-06-16,00:44:47,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,246.0,8.13,4.2,4.5,UPI,2024-06-16 00:44:47,0,16,6,6,1
2024-09-18,09:33:55,"""CNR4932611""",Completed,"""CID8795963""",Auto,Aya Nagar,Karkarduma,8.8,25.2,237.0,2.96,3.9,3.3,UPI,2024-09-18 09:33:55,9,18,2,9,0
2024-06-03,18:14:47,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,MG Road,Hauz Rani,4.1,25.1,379.0,33.04,4.2,4.5,Uber Wallet,2024-06-03 18:14:47,18,3,0,6,0
2024-10-03,22:20:34,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,Jasola,Palam Vihar,11.2,40.7,545.0,44.7,4.3,4.3,Cash,2024-10-03 22:20:34,22,3,3,10,0
2024-05-25,11:24:29,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,Kashmere Gate,RK Puram,3.0,35.4,479.0,7.38,4.2,4.6,UPI,2024-05-25 11:24:29,11,25,5,5,1
2024-11-10,05:13:57,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,Punjabi Bagh,Madipur,9.1,23.2,647.0,24.93,4.3,4.7,Uber Wallet,2024-11-10 05:13:57,5,10,6,11,1
2024-06-01,10:03:27,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,125.0,25.16,4.3,5.0,Credit Card,2024-06-01 10:03:27,10,1,5,6,1
2024-07-30,12:02:26,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,375.0,48.85,3.3,3.3,Cash,2024-07-30 12:02:26,12,30,1,7,0
2024-02-25,16:23:19,"""CNR3635865""",Completed,"""CID6477355""",Auto,Cyber Hub,Yamuna Bank,11.7,33.0,310.0,24.41,4.6,3.8,Debit Card,2024-02-25 16:23:19,16,25,6,2,1
2024-01-25,12:39:21,"""CNR9252424""",Completed,"""CID9413620""",eBike,Vidhan Sabha,Mehrauli,12.1,18.1,291.0,3.71,3.2,4.3,UPI,2024-01-25 12:39:21,12,25,3,1,0
2024-04-11,11:14:35,"""CNR3096031""",Completed,"""CID3101926""",Auto,Anand Vihar,Saket,5.8,24.3,114.0,32.98,4.3,4.5,Uber Wallet,2024-04-11 11:14:35,11,11,3,4,0
2024-06-17,20:25:47,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,Uttam Nagar,New Delhi Railway Station,4.0,44.5,464.0,11.2,4.5,4.2,Cash,2024-06-17 20:25:47,20,17,0,6,0
2024-07-29,19:52:48,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,Model Town,Mundka,3.4,27.1,160.0,45.4,4.0,5.0,Cash,2024-07-29 19:52:48,19,29,0,7,0
2024-12-21,21:40:00,"""CNR3347993""",Completed,"""CID4871438""",eBike,Ghitorni,Pitampura,9.9,38.5,206.0,28.78,4.1,3.7,Cash,2024-12-21 21:40:00,21,21,5,12,1
