hour,weekday,month,is_weekend,Pickup Location,demand
0,0,1,0,Azadpur,1
0,0,1,0,Bahadurgarh,1
0,0,1,0,Central Secretariat,1
0,0,1,0,Gurgaon Railway Station,1
0,0,1,0,IFFCO Chowk,1
0,0,1,0,IMT Manesar,1
0,0,1,0,Kadarpur,1
0,0,1,0,Kalkaji,1
0,0,1,0,Kanhaiya Nagar,1
0,0,1,0,Meerut,1
0,0,1,0,Moolchand,1
0,0,1,0,Nawada,1
0,0,1,0,Pulbangash,1
0,0,1,0,Udyog Vihar,1
0,0,2,0,Connaught Place,1
0,0,2,0,IMT Manesar,1
0,0,2,0,Maidan Garhi,1
0,0,2,0,Okhla,1
0,0,2,0,Pataudi Chowk,1
0,0,3,0,Ghaziabad,1
0,0,3,0,Govindpuri,1
0,0,3,0,Hauz Khas,1
0,0,3,0,Huda City Centre,1
0,0,3,0,Subhash Nagar,1
0,0,4,0,Arjangarh,1
0,0,4,0,Badarpur,1
0,0,4,0,Bhikaji Cama Place,1
0,0,4,0,DLF City Court,1
0,0,4,0,Green Park,1
0,0,4,0,Gurgaon Railway Station,1
0,0,4,0,Hauz Rani,1
0,0,4,0,Jasola,1
0,0,4,0,Khandsa,1
0,0,4,0,Lajpat Nagar,1
0,0,4,0,MG Road,1
0,0,4,0,Mayur Vihar,1
0,0,4,0,Model Town,1
0,0,4,0,Noida Film City,1
0,0,4,0,Palam Vihar,1
0,0,4,0,RK Puram,1
0,0,4,0,Saidulajab,1
0,0,4,0,Saket,1
0,0,4,0,Shivaji Park,1
0,0,4,0,Tis Hazari,1
0,0,4,0,Vishwavidyalaya,1
0,0,5,0,Anand Vihar,1
0,0,5,0,Green Park,1
0,0,5,0,Moti Nagar,1
0,0,5,0,Nawada,1
0,0,5,0,New Delhi Railway Station,1
0,0,5,0,Rohini East,1
0,0,6,0,Dilshad Garden,1
0,0,6,0,Faridabad Sector 15,1
0,0,6,0,Golf Course Road,1
0,0,6,0,Govindpuri,1
0,0,6,0,Gurgaon Railway Station,1
0,0,6,0,Indirapuram,1
0,0,6,0,Kadarpur,1
0,0,6,0,Keshav Puram,1
0,0,6,0,Maidan Garhi,1
0,0,6,0,Mansarovar Park,1
0,0,6,0,Nawada,2
0,0,6,0,Pulbangash,1
0,0,6,0,Rithala,1
0,0,6,0,Seelampur,1
0,0,7,0,Barakhamba Road,1
0,0,7,0,Civil Lines Gurgaon,1
0,0,7,0,Dilshad Garden,1
0,0,7,0,Kadarpur,1
0,0,7,0,Kaushambi,1
0,0,7,0,Model Town,1
0,0,7,0,New Colony,1
0,0,7,0,Nirman Vihar,1
0,0,7,0,Pitampura,1
0,0,7,0,Sarai Kale Khan,1
0,0,7,0,Uttam Nagar,1
0,0,8,0,Gurgaon Sector 56,1
0,0,8,0,Lok Kalyan Marg,1
0,0,8,0,Maidan Garhi,1
0,0,8,0,Narsinghpur,1
0,0,8,0,New Colony,1
0,0,8,0,Rajiv Nagar,1
0,0,8,0,Tagore Garden,1
0,0,8,0,Tilak Nagar,1
0,0,8,0,Udyog Vihar,1
